,Report_Date,Borough,Adult_Family_Shelter,Adult_Shelter,Adult_Shelter_Commercial_Hotel,Family_with_Children_Shelter
0,01/31/2019,Bronx,1115.0,2494.0,166.0,10613.0
1,01/31/2019,Brooklyn,776.0,4868.0,1191.0,8159.0
2,01/31/2019,Manhattan,1153.0,4683.0,242.0,3622.0
3,01/31/2019,Queens,887.0,817.0,2038.0,4227.0
4,01/31/2019,Staten Island,0.0,0.0,0.0,142.0
5,01/31/2020,Bronx,1147.0,2667.0,91.0,10601.0
6,01/31/2020,Brooklyn,761.0,4973.0,1241.0,7724.0
7,01/31/2020,Manhattan,986.0,4839.0,236.0,3522.0
8,01/31/2020,Queens,915.0,1106.0,1925.0,4416.0
9,01/31/2020,Staten Island,0.0,0.0,0.0,129.0
10,01/31/2021,Bronx,650.0,884.0,537.0,11075.0
11,01/31/2021,Brooklyn,703.0,1703.0,3274.0,6607.0
12,01/31/2021,Manhattan,517.0,2412.0,5336.0,3088.0
13,01/31/2021,Queens,781.0,642.0,3834.0,4245.0
14,01/31/2021,Staten Island,0.0,0.0,0.0,107.0
15,02/28/2021,Bronx,643.0,863.0,569.0,10999.0
16,02/28/2021,Brooklyn,696.0,1814.0,3282.0,6566.0
17,02/28/2021,Manhattan,510.0,2047.0,5592.0,3118.0
18,02/28/2021,Queens,768.0,641.0,3662.0,4277.0
19,02/28/2021,Staten Island,0.0,0.0,0.0,109.0
20,02/29/2020,Bronx,1113.0,2654.0,92.0,10659.0
21,02/29/2020,Brooklyn,751.0,4984.0,1288.0,7764.0
22,02/29/2020,Manhattan,984.0,4866.0,243.0,3535.0
23,02/29/2020,Queens,920.0,1144.0,1925.0,4473.0
24,02/29/2020,Staten Island,0.0,0.0,0.0,131.0
25,03/31/2020,Bronx,1144.0,2627.0,93.0,10715.0
26,03/31/2020,Brooklyn,805.0,4954.0,1356.0,7546.0
27,03/31/2020,Manhattan,911.0,4864.0,317.0,3542.0
28,03/31/2020,Queens,882.0,1219.0,1991.0,4640.0
29,03/31/2020,Staten Island,0.0,0.0,0.0,131.0
30,03/31/2021,Bronx,631.0,996.0,584.0,10712.0
31,03/31/2021,Brooklyn,673.0,1646.0,3300.0,6381.0
32,03/31/2021,Manhattan,492.0,2026.0,5540.0,2998.0
33,03/31/2021,Queens,747.0,629.0,3601.0,4195.0
34,03/31/2021,Staten Island,0.0,0.0,0.0,102.0
35,04/30/2019,Bronx,1115.0,2556.0,165.0,10335.0
36,04/30/2019,Brooklyn,774.0,4718.0,1184.0,8077.0
37,04/30/2019,Manhattan,1190.0,4632.0,233.0,3592.0
38,04/30/2019,Queens,822.0,973.0,2063.0,4144.0
39,04/30/2019,Staten Island,0.0,0.0,0.0,135.0
40,04/30/2020,Bronx,1096.0,2282.0,191.0,10476.0
41,04/30/2020,Brooklyn,753.0,4243.0,2045.0,7410.0
42,04/30/2020,Manhattan,874.0,4212.0,1034.0,3450.0
43,04/30/2020,Queens,873.0,1244.0,2048.0,4538.0
44,04/30/2020,Staten Island,0.0,0.0,0.0,107.0
