,Unnamed: 0,Report_Date,Borough,Adult_Family_Shelter,Adult_Shelter,Adult_Shelter_Commercial_Hotel,Family_with_Children_Shelter
83,83,2018-07-31,Queens,683.0,831.0,1691.0,3943.0
84,84,2018-07-31,Staten Island,0.0,0.0,0.0,141.0
80,80,2018-07-31,Bronx,925.0,2265.0,131.0,10369.0
81,81,2018-07-31,Brooklyn,818.0,4725.0,953.0,7927.0
82,82,2018-07-31,Manhattan,1215.0,4516.0,244.0,3642.0
99,99,2018-08-31,Staten Island,0.0,0.0,0.0,139.0
98,98,2018-08-31,Queens,790.0,821.0,1593.0,3992.0
97,97,2018-08-31,Manhattan,1232.0,4520.0,239.0,3629.0
96,96,2018-08-31,Brooklyn,786.0,4644.0,942.0,8039.0
95,95,2018-08-31,Bronx,969.0,2428.0,154.0,10534.0
119,119,2018-09-30,Staten Island,0.0,0.0,0.0,136.0
117,117,2018-09-30,Manhattan,1242.0,4566.0,244.0,3612.0
118,118,2018-09-30,Queens,826.0,829.0,1662.0,4026.0
115,115,2018-09-30,Bronx,991.0,2523.0,151.0,10532.0
116,116,2018-09-30,Brooklyn,782.0,4760.0,950.0,8177.0
134,134,2018-10-31,Staten Island,0.0,0.0,0.0,134.0
133,133,2018-10-31,Queens,826.0,823.0,1839.0,4096.0
132,132,2018-10-31,Manhattan,1265.0,4665.0,245.0,3628.0
131,131,2018-10-31,Brooklyn,811.0,4693.0,953.0,8142.0
130,130,2018-10-31,Bronx,1033.0,2537.0,156.0,10574.0
146,146,2018-11-30,Brooklyn,782.0,4684.0,939.0,8169.0
147,147,2018-11-30,Manhattan,1215.0,4701.0,243.0,3635.0
145,145,2018-11-30,Bronx,1053.0,2522.0,161.0,10551.0
149,149,2018-11-30,Staten Island,0.0,0.0,0.0,134.0
148,148,2018-11-30,Queens,886.0,818.0,1940.0,4141.0
160,160,2018-12-31,Bronx,1104.0,2446.0,163.0,10569.0
161,161,2018-12-31,Brooklyn,769.0,4752.0,1071.0,8081.0
162,162,2018-12-31,Manhattan,1139.0,4625.0,242.0,3610.0
163,163,2018-12-31,Queens,910.0,814.0,1912.0,4167.0
164,164,2018-12-31,Staten Island,0.0,0.0,0.0,137.0
1,1,2019-01-31,Brooklyn,776.0,4868.0,1191.0,8159.0
2,2,2019-01-31,Manhattan,1153.0,4683.0,242.0,3622.0
3,3,2019-01-31,Queens,887.0,817.0,2038.0,4227.0
